# schema source: Upbound AWS Provider v2.6.0 https://github.com/crossplane-contrib/provider-upjet-aws
apiVersion <string> enum=lightsail.aws.m.upbound.io/v1beta1
kind <string> enum=Instance
metadata.name <string> (required)
metadata.namespace <string> (required)
spec <object> (required)	# InstanceSpec defines the desired state of Instance
spec.initProvider.blueprintId <string>	# ID for a virtual private server image. A list of available blueprint IDs can be obtained using the AWS CLI command: aws lightsail get-blueprints.
spec.initProvider.bundleId <string>	# Bundle of specification information. A list of available bundle IDs can be obtained using the AWS CLI command: aws lightsail get-bundles.
spec.initProvider.ipAddressType <string>	# IP address type of the Lightsail Instance. Valid values: dualstack, ipv4, ipv6. Default: dualstack.
spec.initProvider.keyPairName <string>	# Name of your key pair. Created in the Lightsail console (cannot use aws_key_pair at this time).
spec.initProvider.tags <map[string]string>	# Key-value map of resource tags.
spec.initProvider.userData <string>	# Single lined launch script as a string to configure server with additional user data.
spec.managementPolicies <[]string> default=["*"]	# THIS IS A BETA FIELD. It is on by default but can be opted out through a Crossplane feature flag. ManagementPolicies specify the array of actions Crossplane is allowed to take on the managed and external resources. See the design doc for more information: https://github.com/crossplane/crossplane/blob/499895a25d1a1a0ba1604944ef98ac7a1a71f197/design/design-doc-observe-only-resources.md?plain=1#L223 and this one: https://github.com/crossplane/crossplane/blob/444267e84783136daa93568b364a5f01228cacbe/design/one-pager-ignore-changes.md
spec.providerConfigRef <object> default={"kind":"ClusterProviderConfig","name":"default"}	# ProviderConfigReference specifies how the provider that will be used to create, observe, update, and delete this managed resource should be configured.
spec.providerConfigRef.kind <string> (required)	# Kind of the referenced object.
spec.providerConfigRef.name <string> (required)	# Name of the referenced object.
spec.writeConnectionSecretToRef <object>	# WriteConnectionSecretToReference specifies the namespace and name of a Secret to which any connection details for this managed resource should be written. Connection details frequently include the endpoint, username, and password required to connect to the managed resource.
spec.writeConnectionSecretToRef.name <string> (required)	# Name of the secret.
status <object>	# InstanceStatus defines the observed state of Instance.
status.atProvider <object>
status.atProvider.addOn <object>	# Add-on configuration for the instance. See below.
status.atProvider.addOn.snapshotTime <string>	# Daily time when an automatic snapshot will be created. Must be in HH:00 format, and in an hourly increment and specified in Coordinated Universal Time (UTC). The snapshot will be automatically created between the time specified and up to 45 minutes after.
status.atProvider.addOn.status <string>	# Status of the add-on. Valid values: Enabled, Disabled.
status.atProvider.addOn.type <string>	# Add-on type. There is currently only one valid type AutoSnapshot.
status.atProvider.arn <string>	# ARN of the Lightsail instance (matches id).
status.atProvider.availabilityZone <string>	# Availability Zone in which to create your instance. A list of available zones can be obtained using the AWS CLI command: aws lightsail get-regions --include-availability-zones.
status.atProvider.blueprintId <string>	# ID for a virtual private server image. A list of available blueprint IDs can be obtained using the AWS CLI command: aws lightsail get-blueprints.
status.atProvider.bundleId <string>	# Bundle of specification information. A list of available bundle IDs can be obtained using the AWS CLI command: aws lightsail get-bundles.
status.atProvider.cpuCount <number>	# Number of vCPUs the instance has.
status.atProvider.createdAt <string>	# Timestamp when the instance was created.
status.atProvider.id <string>	# ARN of the Lightsail instance (matches arn).
status.atProvider.ipAddressType <string>	# IP address type of the Lightsail Instance. Valid values: dualstack, ipv4, ipv6. Default: dualstack.
status.atProvider.ipv6Addresses <[]string>	# List of IPv6 addresses for the Lightsail instance.
status.atProvider.isStaticIp <boolean>	# Whether this instance has a static IP assigned to it.
status.atProvider.keyPairName <string>	# Name of your key pair. Created in the Lightsail console (cannot use aws_key_pair at this time).
status.atProvider.privateIpAddress <string>	# Private IP address of the instance.
status.atProvider.publicIpAddress <string>	# Public IP address of the instance.
status.atProvider.ramSize <number>	# Amount of RAM in GB on the instance (e.g., 1.0).
status.atProvider.region <string>	# Region where this resource will be managed. Defaults to the Region set in the provider configuration. Region is the region you'd like your resource to be created in.
status.atProvider.tags <map[string]string>	# Key-value map of resource tags.
status.atProvider.tagsAll <map[string]string>	# Map of tags assigned to the resource, including those inherited from the provider default_tags configuration block.
status.atProvider.userData <string>	# Single lined launch script as a string to configure server with additional user data.
status.atProvider.username <string>	# User name for connecting to the instance (e.g., ec2-user).
status.conditions <[]object>	# Conditions of the resource.
status.conditions[].lastTransitionTime <string> (required) format=date-time	# LastTransitionTime is the last time this condition transitioned from one status to another.
status.conditions[].message <string>	# A Message containing details about this condition's last transition from one status to another, if any.
status.conditions[].observedGeneration <integer> format=int64	# ObservedGeneration represents the .metadata.generation that the condition was set based upon. For instance, if .metadata.generation is currently 12, but the .status.conditions[x].observedGeneration is 9, the condition is out of date with respect to the current state of the instance.
status.conditions[].reason <string> (required)	# A Reason for this condition's last transition from one status to another.
status.conditions[].status <string> (required)	# Status of this condition; is it currently True, False, or Unknown?
status.conditions[].type <string> (required)	# Type of this condition. At most one of each condition type may apply to a resource at any point in time.
status.observedGeneration <integer> format=int64	# ObservedGeneration is the latest metadata.generation which resulted in either a ready state, or stalled due to error it can not recover from without human intervention.
