# schema source: Upbound AWS Provider v2.6.0 https://github.com/crossplane-contrib/provider-upjet-aws
apiVersion <string> enum=opensearch.aws.m.upbound.io/v1beta1
kind <string> enum=Domain
metadata.name <string> (required)
metadata.namespace <string> (required)
spec <object> (required)	# DomainSpec defines the desired state of Domain
spec.forProvider.vpcOptions.securityGroupIdRefs[].policy.resolve <string> enum=Always|IfNotPresent	# Resolve specifies when this reference should be resolved. The default is 'IfNotPresent', which will attempt to resolve the reference only when the corresponding field is not present. Use 'Always' to resolve the reference on every reconcile.
spec.forProvider.vpcOptions.securityGroupIdSelector <object>	# Selector for a list of SecurityGroup in ec2 to populate securityGroupIds.
spec.forProvider.vpcOptions.securityGroupIdSelector.matchControllerRef <boolean>	# MatchControllerRef ensures an object with the same controller reference as the selecting object is selected.
spec.forProvider.vpcOptions.securityGroupIdSelector.matchLabels <map[string]string>	# MatchLabels ensures an object with matching labels is selected.
spec.forProvider.vpcOptions.securityGroupIdSelector.namespace <string>	# Namespace for the selector
spec.forProvider.vpcOptions.securityGroupIdSelector.policy <object>	# Policies for selection.
spec.forProvider.vpcOptions.securityGroupIdSelector.policy.resolution <string> enum=Required|Optional default="Required"	# Resolution specifies whether resolution of this reference is required. The default is 'Required', which means the reconcile will fail if the reference cannot be resolved. 'Optional' means this reference will be a no-op if it cannot be resolved.
spec.forProvider.vpcOptions.securityGroupIdSelector.policy.resolve <string> enum=Always|IfNotPresent	# Resolve specifies when this reference should be resolved. The default is 'IfNotPresent', which will attempt to resolve the reference only when the corresponding field is not present. Use 'Always' to resolve the reference on every reconcile.
spec.forProvider.vpcOptions.securityGroupIds <[]string>	# List of VPC Security Group IDs to be applied to the OpenSearch domain endpoints. If omitted, the default Security Group for the VPC will be used.
spec.forProvider.vpcOptions.subnetIdRefs <[]object>	# References to Subnet in ec2 to populate subnetIds.
spec.forProvider.vpcOptions.subnetIdRefs[].name <string> (required)	# Name of the referenced object.
spec.forProvider.vpcOptions.subnetIdRefs[].namespace <string>	# Namespace of the referenced object
spec.forProvider.vpcOptions.subnetIdRefs[].policy <object>	# Policies for referencing.
spec.forProvider.vpcOptions.subnetIdRefs[].policy.resolution <string> enum=Required|Optional default="Required"	# Resolution specifies whether resolution of this reference is required. The default is 'Required', which means the reconcile will fail if the reference cannot be resolved. 'Optional' means this reference will be a no-op if it cannot be resolved.
spec.forProvider.vpcOptions.subnetIdRefs[].policy.resolve <string> enum=Always|IfNotPresent	# Resolve specifies when this reference should be resolved. The default is 'IfNotPresent', which will attempt to resolve the reference only when the corresponding field is not present. Use 'Always' to resolve the reference on every reconcile.
spec.forProvider.vpcOptions.subnetIdSelector <object>	# Selector for a list of Subnet in ec2 to populate subnetIds.
spec.forProvider.vpcOptions.subnetIdSelector.matchControllerRef <boolean>	# MatchControllerRef ensures an object with the same controller reference as the selecting object is selected.
spec.forProvider.vpcOptions.subnetIdSelector.matchLabels <map[string]string>	# MatchLabels ensures an object with matching labels is selected.
spec.forProvider.vpcOptions.subnetIdSelector.namespace <string>	# Namespace for the selector
spec.forProvider.vpcOptions.subnetIdSelector.policy <object>	# Policies for selection.
spec.forProvider.vpcOptions.subnetIdSelector.policy.resolution <string> enum=Required|Optional default="Required"	# Resolution specifies whether resolution of this reference is required. The default is 'Required', which means the reconcile will fail if the reference cannot be resolved. 'Optional' means this reference will be a no-op if it cannot be resolved.
spec.forProvider.vpcOptions.subnetIdSelector.policy.resolve <string> enum=Always|IfNotPresent	# Resolve specifies when this reference should be resolved. The default is 'IfNotPresent', which will attempt to resolve the reference only when the corresponding field is not present. Use 'Always' to resolve the reference on every reconcile.
spec.forProvider.vpcOptions.subnetIds <[]string>	# List of VPC Subnet IDs for the OpenSearch domain endpoints to be created in.
spec.initProvider <object>	# THIS IS A BETA FIELD. It will be honored unless the Management Policies feature flag is disabled. InitProvider holds the same fields as ForProvider, with the exception of Identifier and other resource reference fields. The fields that are in InitProvider are merged into ForProvider when the resource is created. The same fields are also added to the terraform ignore_changes hook, to avoid updating them after creation. This is useful for fields that are required on creation, but we do not desire to update them after creation, for example because of an external controller is managing them, like an autoscaler.
spec.initProvider.advancedOptions <map[string]string>	# Key-value string pairs to specify advanced configuration options.
spec.initProvider.advancedSecurityOptions <object>	# Configuration block for fine-grained access control. Detailed below.
spec.initProvider.advancedSecurityOptions.anonymousAuthEnabled <boolean>	# Whether Anonymous auth is enabled. Enables fine-grained access control on an existing domain. Ignored unless advanced_security_options are enabled. Can only be enabled on an existing domain.
spec.initProvider.advancedSecurityOptions.enabled <boolean>	# Whether advanced security is enabled.
spec.initProvider.advancedSecurityOptions.internalUserDatabaseEnabled <boolean>	# Whether the internal user database is enabled. Default is false.
spec.initProvider.advancedSecurityOptions.jwtOptions <object>	# Configuration block for JWT authentication. Requires OpenSearch 2.11 or later. Detailed below.
spec.initProvider.advancedSecurityOptions.jwtOptions.enabled <boolean>	# Whether JWT authentication is enabled.
spec.initProvider.advancedSecurityOptions.jwtOptions.publicKey <string>	# PEM-encoded public key used to verify JWT signatures.
spec.initProvider.advancedSecurityOptions.jwtOptions.rolesKey <string>	# Element of the JWT assertion to use for roles. Default is roles.
spec.initProvider.advancedSecurityOptions.jwtOptions.subjectKey <string>	# Element of the JWT assertion to use for the user name. Default is sub.
spec.initProvider.advancedSecurityOptions.masterUserOptions <object>	# Configuration block for the main user. Detailed below.
spec.initProvider.advancedSecurityOptions.masterUserOptions.masterUserArn <string>	# ARN for the main user. Only specify if internal_user_database_enabled is not set or set to false.
spec.initProvider.advancedSecurityOptions.masterUserOptions.masterUserName <string>	# Main user's username, which is stored in the Amazon OpenSearch Service domain's internal database. Only specify if internal_user_database_enabled is set to true.
spec.initProvider.advancedSecurityOptions.masterUserOptions.masterUserPasswordSecretRef <object>	# Main user's password, which is stored in the Amazon OpenSearch Service domain's internal database. Only specify if internal_user_database_enabled is set to true.
spec.initProvider.advancedSecurityOptions.masterUserOptions.masterUserPasswordSecretRef.key <string> (required)
spec.initProvider.advancedSecurityOptions.masterUserOptions.masterUserPasswordSecretRef.name <string> (required)	# Name of the secret.
spec.initProvider.aimlOptions <object>	# Configuration block for parameters required to enable all machine learning features. Detailed below.
spec.initProvider.aimlOptions.naturalLanguageQueryGenerationOptions <object>	# Configuration block for parameters required for natural language query generation on the specified domain.
spec.initProvider.aimlOptions.naturalLanguageQueryGenerationOptions.desiredState <string>	# The desired state of the natural language query generation feature. Valid values are ENABLED and DISABLED.
spec.initProvider.aimlOptions.s3VectorsEngine <object>	# Configuration block for parameters required to enable S3 vectors engine features on the specified domain.
spec.initProvider.aimlOptions.s3VectorsEngine.enabled <boolean>	# Enables S3 vectors engine features.
spec.initProvider.aimlOptions.serverlessVectorAcceleration <object>	# Configuration block for parameters required to enable GPU-accelerated vector search on the specified domain.
spec.initProvider.aimlOptions.serverlessVectorAcceleration.enabled <boolean>	# Enables GPU-accelerated vector search for improved performance on vector workloads.
spec.initProvider.autoTuneOptions <object>	# Configuration block for the Auto-Tune options of the domain. Detailed below.
spec.initProvider.autoTuneOptions.desiredState <string>	# Auto-Tune desired state for the domain. Valid values: ENABLED or DISABLED.
spec.initProvider.autoTuneOptions.maintenanceSchedule <[]object>	# Configuration block for Auto-Tune maintenance windows. Can be specified multiple times for each maintenance window. Detailed below.
spec.initProvider.autoTuneOptions.maintenanceSchedule[].cronExpressionForRecurrence <string>	# A cron expression specifying the recurrence pattern for an Auto-Tune maintenance schedule.
spec.initProvider.autoTuneOptions.maintenanceSchedule[].duration <object>	# Configuration block for the duration of the Auto-Tune maintenance window. Detailed below.
spec.initProvider.autoTuneOptions.maintenanceSchedule[].duration.unit <string>	# Unit of time specifying the duration of an Auto-Tune maintenance window. Valid values: HOURS.
spec.initProvider.autoTuneOptions.maintenanceSchedule[].duration.value <number>	# An integer specifying the value of the duration of an Auto-Tune maintenance window.
spec.initProvider.autoTuneOptions.maintenanceSchedule[].startAt <string>	# Date and time at which to start the Auto-Tune maintenance schedule in RFC3339 format.
spec.initProvider.autoTuneOptions.rollbackOnDisable <string>	# Whether to roll back to default Auto-Tune settings when disabling Auto-Tune. Valid values: DEFAULT_ROLLBACK or NO_ROLLBACK.
spec.initProvider.autoTuneOptions.useOffPeakWindow <boolean>	# Whether to schedule Auto-Tune optimizations that require blue/green deployments during the domain's configured daily off-peak window. Defaults to false.
spec.initProvider.clusterConfig <object>	# Configuration block for the cluster of the domain. Detailed below.
spec.initProvider.clusterConfig.coldStorageOptions <object>	# Configuration block containing cold storage configuration. Detailed below.
spec.initProvider.clusterConfig.coldStorageOptions.enabled <boolean>	# Boolean to enable cold storage for an OpenSearch domain. Defaults to false. Master and ultrawarm nodes must be enabled for cold storage.
spec.initProvider.clusterConfig.dedicatedMasterCount <number>	# Number of dedicated main nodes in the cluster.
spec.initProvider.clusterConfig.dedicatedMasterEnabled <boolean>	# Whether dedicated main nodes are enabled for the cluster.
spec.initProvider.clusterConfig.dedicatedMasterType <string>	# Instance type of the dedicated main nodes in the cluster.
spec.initProvider.clusterConfig.instanceCount <number>	# Number of instances in the cluster.
spec.initProvider.clusterConfig.instanceType <string>	# Instance type of data nodes in the cluster.
spec.initProvider.clusterConfig.multiAzWithStandbyEnabled <boolean>	# Whether a multi-AZ domain is turned on with a standby AZ. For more information, see Configuring a multi-AZ domain in Amazon OpenSearch Service.
spec.initProvider.clusterConfig.nodeOptions <[]object>	# List of node options for the domain.
spec.initProvider.clusterConfig.nodeOptions[].nodeConfig <object>	# Container to specify sizing of a node type.
spec.initProvider.clusterConfig.nodeOptions[].nodeConfig.count <number>	# Number of nodes of a particular node type in the cluster.
spec.initProvider.clusterConfig.nodeOptions[].nodeConfig.enabled <boolean>	# Whether a particular node type is enabled.
spec.initProvider.clusterConfig.nodeOptions[].nodeConfig.type <string>	# The instance type of a particular node type in the cluster.
spec.initProvider.clusterConfig.nodeOptions[].nodeType <string>	# Type of node this configuration describes. Valid values: coordinator.
spec.initProvider.clusterConfig.warmCount <number>	# Number of warm nodes in the cluster. Valid values are between 2 and 150. warm_count can be only and must be set when warm_enabled is set to true.
spec.initProvider.clusterConfig.warmEnabled <boolean>	# Whether to enable warm storage.
spec.initProvider.clusterConfig.warmType <string>	# Instance type for the OpenSearch cluster's warm nodes. Valid values are ultrawarm1.medium.search, ultrawarm1.large.search and ultrawarm1.xlarge.search. warm_type can be only and must be set when warm_enabled is set to true.
spec.initProvider.clusterConfig.zoneAwarenessConfig <object>	# Configuration block containing zone awareness settings. Detailed below.
