# schema source: GCP Config Connector v1.152.0 https://github.com/GoogleCloudPlatform/k8s-config-connector
apiVersion <string> enum=bigquery.cnrm.cloud.google.com/v1beta1
kind <string> enum=BigQueryJob
metadata.name <string> (required)
metadata.namespace <string> (required)
spec <object>
spec.copy <object>	# Immutable. Copies a table.
spec.query.allowLargeResults <boolean>	# Immutable. If true and query uses legacy SQL dialect, allows the query to produce arbitrarily large result tables at a slight cost in performance. Requires destinationTable to be set. For standard SQL queries, this flag is ignored and large results are always allowed. However, you must still set destinationTable when result size exceeds the allowed maximum response size.
spec.query.createDisposition <string>	# Immutable. Specifies whether the job is allowed to create new tables. The following values are supported: CREATE_IF_NEEDED: If the table does not exist, BigQuery creates the table. CREATE_NEVER: The table must already exist. If it does not, a 'notFound' error is returned in the job result. Creation, truncation and append actions occur as one atomic update upon job completion Default value: "CREATE_NEVER" Possible values: ["CREATE_IF_NEEDED", "CREATE_NEVER"].
spec.query.defaultDataset <object>	# Immutable. Specifies the default dataset to use for unqualified table names in the query. Note that this does not alter behavior of unqualified dataset names.
spec.query.defaultDataset.datasetRef <object> (required)	# A reference to the dataset.
spec.query.defaultDataset.datasetRef.external <string>	# Allowed value: The `selfLink` field of a `BigQueryDataset` resource.
spec.query.defaultDataset.datasetRef.name <string>	# Name of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/names/#names
spec.query.defaultDataset.datasetRef.namespace <string>	# Namespace of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/namespaces/
spec.query.destinationEncryptionConfiguration <object>	# Immutable. Custom encryption configuration (e.g., Cloud KMS keys).
spec.query.destinationEncryptionConfiguration.kmsKeyRef <object> (required)	# Describes the Cloud KMS encryption key that will be used to protect destination BigQuery table. The BigQuery Service Account associated with your project requires access to this encryption key.
spec.query.destinationEncryptionConfiguration.kmsKeyRef.external <string>	# Allowed value: The `selfLink` field of a `KMSCryptoKey` resource.
spec.query.destinationEncryptionConfiguration.kmsKeyRef.name <string>	# Name of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/names/#names
spec.query.destinationEncryptionConfiguration.kmsKeyRef.namespace <string>	# Namespace of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/namespaces/
spec.query.destinationEncryptionConfiguration.kmsKeyVersion <string>	# Describes the Cloud KMS encryption key version used to protect destination BigQuery table.
spec.query.destinationTable <object>	# Immutable. Describes the table where the query results should be stored. This property must be set for large results that exceed the maximum response size. For queries that produce anonymous (cached) results, this field will be populated by BigQuery.
spec.query.destinationTable.tableRef <object> (required)	# A reference to the table.
spec.query.destinationTable.tableRef.external <string>	# Allowed value: The `selfLink` field of a `BigQueryTable` resource.
spec.query.destinationTable.tableRef.name <string>	# Name of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/names/#names
spec.query.destinationTable.tableRef.namespace <string>	# Namespace of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/namespaces/
spec.query.flattenResults <boolean>	# Immutable. If true and query uses legacy SQL dialect, flattens all nested and repeated fields in the query results. allowLargeResults must be true if this is set to false. For standard SQL queries, this flag is ignored and results are never flattened.
spec.query.maximumBillingTier <integer>	# Immutable. Limits the billing tier for this job. Queries that have resource usage beyond this tier will fail (without incurring a charge). If unspecified, this will be set to your project default.
spec.query.maximumBytesBilled <string>	# Immutable. Limits the bytes billed for this job. Queries that will have bytes billed beyond this limit will fail (without incurring a charge). If unspecified, this will be set to your project default.
spec.query.parameterMode <string>	# Immutable. Standard SQL only. Set to POSITIONAL to use positional (?) query parameters or to NAMED to use named (@myparam) query parameters in this query.
spec.query.priority <string>	# Immutable. Specifies a priority for the query. Default value: "INTERACTIVE" Possible values: ["INTERACTIVE", "BATCH"].
spec.query.query <string> (required)	# Immutable. SQL query text to execute. The useLegacySql field can be used to indicate whether the query uses legacy SQL or standard SQL. *NOTE*: queries containing [DML language](https://cloud.google.com/bigquery/docs/reference/standard-sql/data-manipulation-language) ('DELETE', 'UPDATE', 'MERGE', 'INSERT') must specify 'create_disposition = ""' and 'write_disposition = ""'.
spec.query.schemaUpdateOptions <[]string>	# Immutable. Allows the schema of the destination table to be updated as a side effect of the query job. Schema update options are supported in two cases: when writeDisposition is WRITE_APPEND; when writeDisposition is WRITE_TRUNCATE and the destination table is a partition of a table, specified by partition decorators. For normal tables, WRITE_TRUNCATE will always overwrite the schema. One or more of the following values are specified: ALLOW_FIELD_ADDITION: allow adding a nullable field to the schema. ALLOW_FIELD_RELAXATION: allow relaxing a required field in the original schema to nullable.
spec.query.scriptOptions <object>	# Immutable. Options controlling the execution of scripts.
spec.query.scriptOptions.keyResultStatement <string>	# Immutable. Determines which statement in the script represents the "key result", used to populate the schema and query results of the script job. Possible values: ["LAST", "FIRST_SELECT"].
spec.query.scriptOptions.statementByteBudget <string>	# Immutable. Limit on the number of bytes billed per statement. Exceeding this budget results in an error.
spec.query.scriptOptions.statementTimeoutMs <string>	# Immutable. Timeout period for each statement in a script.
spec.query.useLegacySql <boolean>	# Immutable. Specifies whether to use BigQuery's legacy SQL dialect for this query. The default value is true. If set to false, the query will use BigQuery's standard SQL.
spec.query.useQueryCache <boolean>	# Immutable. Whether to look for the result in the query cache. The query cache is a best-effort cache that will be flushed whenever tables in the query are modified. Moreover, the query cache is only available when a query does not have a destination table specified. The default value is true.
spec.query.userDefinedFunctionResources <[]object>	# Immutable. Describes user-defined function resources used in the query.
spec.query.userDefinedFunctionResources[].inlineCode <string>	# Immutable. An inline resource that contains code for a user-defined function (UDF). Providing a inline code resource is equivalent to providing a URI for a file containing the same code.
spec.query.userDefinedFunctionResources[].resourceUri <string>	# Immutable. A code resource to load from a Google Cloud Storage URI (gs://bucket/path).
spec.query.writeDisposition <string>	# Immutable. Specifies the action that occurs if the destination table already exists. The following values are supported: WRITE_TRUNCATE: If the table already exists, BigQuery overwrites the table data and uses the schema from the query result. WRITE_APPEND: If the table already exists, BigQuery appends the data to the table. WRITE_EMPTY: If the table already exists and contains data, a 'duplicate' error is returned in the job result. Each action is atomic and only occurs if BigQuery is able to complete the job successfully. Creation, truncation and append actions occur as one atomic update upon job completion. Default value: "WRITE_EMPTY" Possible values: ["WRITE_TRUNCATE", "WRITE_APPEND", "WRITE_EMPTY"].
spec.resourceID <string>	# Immutable. Optional. The jobId of the resource. Used for creation and acquisition. When unset, the value of `metadata.name` is used as the default.
status <object>
status.conditions <[]object>	# Conditions represent the latest available observation of the resource's current state.
status.conditions[].lastTransitionTime <string>	# Last time the condition transitioned from one status to another.
status.conditions[].message <string>	# Human-readable message indicating details about last transition.
status.conditions[].reason <string>	# Unique, one-word, CamelCase reason for the condition's last transition.
status.conditions[].status <string>	# Status is the status of the condition. Can be True, False, Unknown.
status.conditions[].type <string>	# Type is the type of the condition.
status.jobType <string>	# The type of the job.
status.observedGeneration <integer>	# ObservedGeneration is the generation of the resource that was most recently observed by the Config Connector controller. If this is equal to metadata.generation, then that means that the current reported status reflects the most recent desired state of the resource.
status.status <[]object>	# The status of this job. Examine this value when polling an asynchronous job to see if the job is complete.
status.status[].errorResult <[]object>	# Final error result of the job. If present, indicates that the job has completed and was unsuccessful.
status.status[].errorResult[].location <string>	# Specifies where the error occurred, if present.
status.status[].errorResult[].message <string>	# A human-readable description of the error.
status.status[].errorResult[].reason <string>	# A short error code that summarizes the error.
status.status[].errors <[]object>	# The first errors encountered during the running of the job. The final message includes the number of errors that caused the process to stop. Errors here do not necessarily mean that the job has not completed or was unsuccessful.
status.status[].errors[].location <string>	# Specifies where the error occurred, if present.
status.status[].errors[].message <string>	# A human-readable description of the error.
status.status[].errors[].reason <string>	# A short error code that summarizes the error.
status.status[].state <string>	# Running state of the job. Valid states include 'PENDING', 'RUNNING', and 'DONE'.
status.userEmail <string>	# Email address of the user who ran the job.
